"id","TripMode","count"
"1","地铁","360"
"2","步行","136"
"3","公交车","100"
"4","火车","71"
"5","飞机","66"
"6","电动车","39"
"7","自行车","38"
"8","汽车","34"
"9","摩托车","14"
